,label
0,0
1,1
2,1
3,0
4,1
5,0
6,1
7,0
8,1
9,0
10,0
11,1
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,0
28,1
29,1
30,0
31,0
32,0
33,0
34,0
35,0
36,1
37,1
38,1
39,0
40,1
41,0
42,0
43,1
44,0
45,1
46,1
47,0
48,0
49,1
50,1
51,1
52,0
53,0
54,1
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,0
79,1
80,1
81,0
82,1
83,1
84,0
85,0
86,1
87,1
88,0
89,1
90,0
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,0
101,0
102,1
103,0
104,0
105,1
106,1
107,0
108,1
109,1
110,1
111,1
112,0
113,1
114,0
115,1
116,1
117,0
118,1
119,0
120,0
121,1
122,0
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,0
133,0
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,0
142,1
143,0
144,0
145,1
146,0
147,0
148,0
149,1
150,1
151,1
152,1
153,1
154,0
155,0
156,1
157,0
158,0
159,1
160,1
161,0
162,1
163,1
164,1
165,0
166,1
167,1
168,1
169,1
170,0
171,1
172,1
173,1
174,0
175,0
176,0
177,1
178,1
179,1
180,0
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0
193,0
194,1
195,1
196,0
197,1
198,1
199,0
200,0
201,0
202,0
203,1
204,0
205,1
206,0
207,1
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,1
237,0
238,0
239,0
240,0
241,0
242,0
243,1
244,0
245,1
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,1
255,1
256,1
257,1
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,0
269,1
270,1
271,1
272,1
273,0
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,0
283,1
284,0
285,0
286,1
287,0
288,1
289,1
290,0
291,1
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,0
301,1
302,1
303,0
304,0
305,1
306,1
307,1
308,0
309,0
310,0
311,0
312,1
313,1
314,1
315,1
316,1
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,0
325,1
326,1
327,0
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,0
341,1
342,0
343,1
344,0
345,1
346,0
347,0
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,0
356,0
357,1
358,1
359,1
360,1
361,0
362,0
363,1
364,0
365,1
366,1
367,1
368,1
369,1
370,1
371,1
372,0
373,0
374,1
375,1
376,0
377,1
378,1
379,0
380,1
381,0
382,1
383,0
384,1
385,0
386,0
387,0
388,0
389,1
390,1
391,1
392,1
393,0
394,1
395,0
396,1
397,0
398,1
399,0
400,0
401,0
402,0
403,1
404,0
405,0
406,0
407,1
408,1
409,0
410,0
411,1
412,1
413,1
414,0
415,0
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,0
428,1
429,1
430,1
431,0
432,0
433,0
434,0
435,1
436,1
437,0
438,1
439,0
440,1
441,0
442,1
443,1
444,0
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,1
458,1
459,0
460,0
461,1
462,0
463,1
464,1
465,1
466,1
467,1
468,1
469,1
470,1
471,1
472,0
473,1
474,0
475,1
476,1
477,1
478,1
479,0
480,1
481,1
482,1
483,1
484,0
485,1
486,0
487,0
488,1
489,0
490,1
491,0
492,1
493,1
494,1
495,1
496,1
497,0
498,1
499,1
500,1
501,0
502,1
503,0
504,0
505,0
506,1
507,1
508,1
509,0
510,1
511,1
512,0
513,0
514,0
515,1
516,1
517,1
518,1
519,1
520,0
521,1
522,0
523,0
524,0
525,0
526,1
527,0
528,0
529,1
530,1
531,0
532,1
533,1
534,1
535,0
536,1
537,1
538,0
539,1
540,1
541,0
542,1
543,0
544,1
545,0
546,1
547,1
548,0
549,1
550,1
551,0
552,1
553,1
554,0
555,0
556,0
557,0
558,1
559,0
560,0
561,1
562,1
563,0
564,0
565,1
566,1
567,1
568,0
569,0
570,1
571,1
572,1
573,0
574,1
575,0
576,0
577,0
578,1
579,0
580,0
581,0
582,0
583,1
584,0
585,0
586,0
587,1
588,0
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,1
604,1
605,1
606,1
607,0
608,0
609,1
610,0
611,1
612,0
613,1
614,1
615,0
616,1
617,1
618,1
619,1
620,1
621,0
622,1
623,0
624,1
625,1
626,1
627,1
628,0
629,1
630,1
631,1
632,1
633,0
634,1
635,0
636,1
637,0
638,0
639,1
640,1
641,1
642,0
643,1
644,0
645,0
646,0
647,1
648,1
649,1
650,1
651,0
652,1
653,1
654,1
655,1
656,0
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,0
667,1
668,1
669,0
670,0
671,1
672,1
673,0
674,1
675,0
676,0
677,1
678,1
679,0
680,1
681,1
682,0
683,1
684,1
685,0
686,0
687,0
688,1
689,1
690,0
691,1
692,0
693,0
694,0
695,1
696,1
697,1
698,1
699,0
700,1
701,1
702,0
703,0
704,1
705,0
706,0
707,0
708,1
709,0
710,1
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,0
722,0
723,0
724,0
725,1
726,0
727,0
728,1
729,1
730,1
731,1
732,0
733,1
734,0
735,0
736,0
737,1
738,0
739,0
740,1
741,1
742,1
743,0
744,1
745,1
746,0
747,1
748,0
749,0
750,1
751,0
752,1
753,1
754,1
755,0
756,0
757,1
758,1
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,1
776,0
777,0
778,1
779,1
780,1
781,1
782,0
783,1
784,0
785,0
786,0
787,0
788,1
789,1
790,1
791,0
792,1
793,1
794,1
795,0
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,0
804,1
805,1
806,1
807,0
808,1
809,0
810,1
811,1
812,1
813,1
814,1
815,1
816,0
817,0
818,1
819,0
820,1
821,0
822,1
823,1
824,1
825,0
826,0
827,1
828,0
829,0
830,1
831,0
832,1
833,0
834,1
835,1
836,0
837,1
838,1
839,0
840,1
841,1
842,1
843,1
844,0
845,0
846,1
847,0
848,1
849,0
850,0
851,1
852,0
853,0
854,1
855,1
856,1
857,1
858,1
859,1
860,0
861,1
862,1
863,1
864,0
865,1
866,1
867,0
868,0
869,1
870,0
871,0
872,1
873,1
874,1
875,0
876,0
877,1
878,1
879,1
880,0
881,1
882,0
883,1
884,0
885,1
886,1
887,0
888,0
889,1
890,0
891,1
892,1
893,0
894,1
895,0
896,0
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,0
907,1
908,1
909,1
910,1
911,1
912,1
913,0
914,0
915,1
916,1
917,1
918,1
919,0
920,1
921,1
922,0
923,1
924,1
925,0
926,0
927,1
928,0
929,0
930,1
931,0
932,1
933,1
934,0
935,0
936,0
937,0
938,0
939,1
940,1
941,0
942,1
943,0
944,1
945,1
946,1
947,0
948,1
949,0
950,1
951,1
952,0
953,0
954,0
955,0
956,0
957,1
958,1
959,1
960,1
961,1
962,1
963,0
964,0
965,1
966,1
967,0
968,0
969,0
970,0
971,1
972,1
973,0
974,0
975,1
976,1
977,1
978,1
979,0
980,1
981,0
982,1
983,0
984,1
985,0
986,1
987,0
988,0
989,1
990,1
991,1
992,1
993,0
994,1
995,1
996,1
997,0
998,1
999,1
1000,0
1001,1
1002,1
1003,1
1004,0
1005,1
1006,1
1007,1
1008,0
1009,1
1010,1
1011,1
1012,0
1013,0
1014,0
1015,1
1016,1
1017,1
1018,0
1019,0
1020,0
1021,1
1022,1
1023,1
1024,0
1025,1
1026,0
1027,0
1028,0
1029,0
1030,1
1031,1
1032,0
1033,1
1034,1
1035,1
1036,1
1037,1
1038,0
1039,0
1040,0
1041,0
1042,1
1043,0
1044,1
1045,1
1046,0
1047,0
1048,0
1049,1
1050,1
1051,0
1052,0
1053,1
1054,1
1055,0
1056,1
1057,1
1058,1
1059,1
1060,0
